Sr No,District,Normal Rainfall,Actual,Normal Rainfall,Actual,Normal Rainfall,Actual,Normal Rainfall,Actual,Normal Rainfall,Actual,Normal Rainfall,Actual,Normal Rainfall,Actual,Normal Rainfall,Actual,Normal Rainfall,Actual,Normal Rainfall,Actual,Normal Rainfall,Actual,Normal Rainfall,Actual,Normal Rainfall,Actual
1,Wardha,10.9,0.5,8.4,9.5,12.2,14.9,7.1,55.7,15,20.9,174.1,151.6,273.6,555,271.6,231.3,155.2,174.4,52.9,53,17,0,15.1,6.5,1013.1,1273.3
2,Nagpur,12.7,2.7,12.1,14.3,14.5,28,7.2,75.7,11.5,38.7,166.3,145.3,304.4,481.8,281.3,182.2,168.4,213.6,53.6,16.1,15.8,0,12.5,4.2,1060.3,1202.6
3,Bhandara,13.9,4.1,13.9,16.8,12.3,15.4,6.5,51.4,14.3,31,189.3,88.2,382.6,677.6,387.6,205.3,197.5,261.4,55.3,12.1,14.5,0,10.8,4.5,1298.5,1367.8
4,Gondia,16.3,8.6,12.4,9.3,14,17.4,8.2,60.3,8.3,32,192.8,108.4,414.9,593.5,413.9,298.5,198.7,358,48.1,11.8,12.4,0,12.6,0.6,1352.6,1498.4
5,Chandrapur,12.9,0.4,10,7.6,13.5,18.8,10.3,29.5,12.9,38.6,183.5,131.4,357.2,750.9,362.9,225.3,180.4,164.7,59.9,43.8,11,1,9.1,3.8,1223.6,1415.8
6,Gadchiroli,10.3,0.7,8.4,2.3,10.6,22,12.4,21.8,16,37.9,210.9,145.2,427.9,932.4,426.5,321,188.8,256.2,67,24.4,11.2,1.2,7.4,1.6,1397.4,1766.7
